n pokedex,nome,geração,tipo 1,tipo 2,vida,ataque,defesa,velocidade,sp ataque,sp defesa,total atr,md atr,altura m,peso kg,% macho,xp evolução,taxa de captura,classificação,lendário,habilidades,contra inseto,contra escuridão,contra dragão,contra elétrico,contra fada,contra lutador,contra fogo,contra voador,contra fantasma,contra planta,contra terra,contra gelo,contra normal,contra venenoso,contra psíquico,contra pedra,contra aço,contra água
11,Metapod,1,inseto,,50,20,55,30,25,25,205,34.166666666666664,0.7,9.9,50.0,1000000,120.0,Pokémon Casulo,False,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
12,Butterfree,1,inseto,voador,60,45,50,70,90,80,395,65.83333333333333,1.1,32.0,50.0,1000000,45.0,Pokémon Borboleta,False,"['Compoundeyes', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
13,Weedle,1,inseto,venenoso,40,35,30,50,20,20,195,32.5,0.3,3.2,50.0,1000000,255.0,Pokémon Peludo,False,"['Shield Dust', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
14,Kakuna,1,inseto,venenoso,45,25,50,35,25,25,205,34.166666666666664,0.6,10.0,50.0,1000000,120.0,Pokémon Casulo,False,['Shed Skin'],0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
15,Beedrill,1,inseto,venenoso,65,150,40,145,15,80,495,82.5,1.0,29.5,50.0,1000000,45.0,Pokémon Abelha Venenosa,False,"['Swarm', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
16,Pidgey,1,normal,voador,40,45,40,56,35,35,251,41.833333333333336,0.3,1.8,50.0,1059860,255.0,Pokémon Passarinho,False,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
17,Pidgeotto,1,normal,voador,63,60,55,71,50,50,349,58.166666666666664,1.1,30.0,50.0,1059860,120.0,Pokémon Pássaro,False,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
18,Pidgeot,1,normal,voador,83,80,80,121,135,80,579,96.5,1.5,39.5,50.0,1059860,45.0,Pokémon Pássaro,False,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
19,Rattata,1,normal,escuridão,30,56,35,72,25,35,253,42.166666666666664,,,50.0,1000000,255.0,Pokémon Rato,False,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Raticate,1,normal,escuridão,75,71,70,77,40,80,413,68.83333333333333,,,50.0,1000000,127.0,Pokémon Rato,False,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,Spearow,1,normal,voador,40,60,30,70,31,31,262,43.666666666666664,0.3,2.0,50.0,1000000,255.0,Pokémon Passarinho,False,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
22,Fearow,1,normal,voador,65,90,65,100,61,61,442,73.66666666666667,1.2,38.0,50.0,1000000,90.0,Pokémon Bico,False,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
23,Ekans,1,venenoso,,35,60,44,55,40,54,288,48.0,2.0,6.9,50.0,1000000,255.0,Pokémon Cobra,False,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
24,Arbok,1,venenoso,,60,95,69,80,65,79,448,74.66666666666667,3.5,65.0,50.0,1000000,90.0,Pokémon Naja,False,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
25,Pikachu,1,elétrico,,35,55,40,90,50,50,320,53.333333333333336,0.4,6.0,50.0,1000000,190.0,Pokémon Rato,False,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,Raichu,1,elétrico,elétrico,60,85,50,110,95,85,485,80.83333333333333,,,50.0,1000000,75.0,Pokémon Rato,False,"['Static', 'Lightningrod', 'Surge Surfer']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
27,Sandshrew,1,terra,gelo,50,75,90,40,10,35,300,50.0,,,50.0,1000000,255.0,Pokémon Rato,False,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
28,Sandslash,1,terra,gelo,75,100,120,65,25,65,450,75.0,,,50.0,1000000,90.0,Pokémon Rato,False,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
29,Nidoran♀,1,venenoso,,55,47,52,41,40,40,275,45.833333333333336,0.4,7.0,0.0,1059860,235.0,Pokémon Pino Venenoso,False,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
30,Nidorina,1,venenoso,,70,62,67,56,55,55,365,60.833333333333336,0.8,20.0,0.0,1059860,120.0,Pokémon Pino Venenoso,False,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
31,Nidoqueen,1,venenoso,terra,90,92,87,76,75,85,505,84.16666666666667,1.3,60.0,0.0,1059860,45.0,Pokémon Broca,False,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
32,Nidoran♂,1,venenoso,,46,57,40,50,40,40,273,45.5,0.5,9.0,100.0,1059860,235.0,Pokémon Pino Venenoso,False,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
33,Nidorino,1,venenoso,,61,72,57,65,55,55,365,60.833333333333336,0.9,19.5,100.0,1059860,120.0,Pokémon Pino Venenoso,False,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
34,Nidoking,1,venenoso,terra,81,102,77,85,85,75,505,84.16666666666667,1.4,62.0,100.0,1059860,45.0,Pokémon Broca,False,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
35,Clefairy,1,fada,,70,45,48,35,60,65,323,53.833333333333336,0.6,7.5,24.6,800000,150.0,Pokémon Fada,False,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
36,Clefable,1,fada,,95,70,73,60,95,90,483,80.5,1.3,40.0,24.6,800000,25.0,Pokémon Fada,False,"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
37,Vulpix,1,fogo,gelo,38,41,40,65,50,65,299,49.833333333333336,,,24.6,1000000,190.0,Pokémon Raposa,False,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
38,Ninetales,1,fogo,gelo,73,67,75,109,81,100,505,84.16666666666667,,,24.6,1000000,75.0,Pokémon Raposa,False,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
39,Jigglypuff,1,normal,fada,115,45,20,20,45,25,270,45.0,0.5,5.5,24.6,800000,170.0,Pokémon Balão,False,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
40,Wigglytuff,1,normal,fada,140,70,45,45,85,50,435,72.5,1.0,12.0,24.6,800000,50.0,Pokémon Balão,False,"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
41,Zubat,1,venenoso,voador,40,45,35,55,30,40,245,40.833333333333336,0.8,7.5,50.0,1000000,255.0,Pokémon Morcego,False,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
42,Golbat,1,venenoso,voador,75,80,70,90,65,75,455,75.83333333333333,1.6,55.0,50.0,1000000,90.0,Pokémon Morcego,False,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
43,Oddish,1,planta,venenoso,45,50,55,30,75,65,320,53.333333333333336,0.5,5.4,50.0,1059860,255.0,Pokémon Erva,False,"['Chlorophyll', 'Run Away']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
44,Gloom,1,planta,venenoso,60,65,70,40,85,75,395,65.83333333333333,0.8,8.6,50.0,1059860,120.0,Pokémon Erva,False,"['Chlorophyll', 'Stench']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
45,Vileplume,1,planta,venenoso,75,80,85,50,110,90,490,81.66666666666667,1.2,18.6,50.0,1059860,45.0,Pokémon Flor,False,"['Chlorophyll', 'Effect Spore']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
46,Paras,1,inseto,planta,35,70,55,25,45,55,285,47.5,0.3,5.4,50.0,1000000,190.0,Pokémon Cogumelo,False,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
47,Parasect,1,inseto,planta,60,95,80,30,60,80,405,67.5,1.0,29.5,50.0,1000000,75.0,Pokémon Cogumelo,False,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
48,Venonat,1,inseto,venenoso,60,55,50,45,40,55,305,50.833333333333336,1.0,30.0,50.0,1000000,190.0,Pokémon Inseto,False,"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
49,Venomoth,1,inseto,venenoso,70,65,60,90,90,75,450,75.0,1.5,12.5,50.0,1000000,75.0,Pokémon Mariposa Venenosa,False,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
50,Diglett,1,terra,terra,10,55,30,90,35,45,265,44.166666666666664,,,50.0,1000000,255.0,Pokémon Toupeira,False,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
51,Dugtrio,1,terra,terra,35,100,60,110,50,70,425,70.83333333333333,,,50.0,1000000,50.0,Pokémon Toupeira,False,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
52,Meowth,1,normal,escuridão,40,35,35,90,50,40,290,48.333333333333336,,,50.0,1000000,255.0,Pokémon Gato Arranhão,False,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,Persian,1,normal,escuridão,65,60,60,115,75,65,440,73.33333333333333,,,50.0,1000000,90.0,Pokémon Gato Elegante,False,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,Psyduck,1,água,,50,52,48,55,65,50,320,53.333333333333336,0.8,19.6,50.0,1000000,190.0,Pokémon Pato,False,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
55,Golduck,1,água,,80,82,78,85,95,80,500,83.33333333333333,1.7,76.6,50.0,1000000,75.0,Pokémon Pato,False,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
56,Mankey,1,lutador,,40,80,35,70,35,45,305,50.833333333333336,0.5,28.0,50.0,1000000,190.0,Pokémon Macaco Porco,False,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
57,Primeape,1,lutador,,65,105,60,95,60,70,455,75.83333333333333,1.0,32.0,50.0,1000000,75.0,Pokémon Macaco Porco,False,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
58,Growlithe,1,fogo,,55,70,45,60,70,50,350,58.333333333333336,0.7,19.0,75.4,1250000,190.0,Pokémon Cachorro,False,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
59,Arcanine,1,fogo,,90,110,80,95,100,80,555,92.5,1.9,155.0,75.4,1250000,75.0,Pokémon Lendário,False,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
60,Poliwag,1,água,,40,50,40,90,40,40,300,50.0,0.6,12.4,50.0,1059860,255.0,Pokémon Girino,False,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
61,Poliwhirl,1,água,,65,65,65,90,50,50,385,64.16666666666667,1.0,20.0,50.0,1059860,120.0,Pokémon Girino,False,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
62,Poliwrath,1,água,lutador,90,95,95,70,70,90,510,85.0,1.3,54.0,50.0,1059860,45.0,Pokémon Girino,False,"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5
63,Abra,1,psíquico,,25,20,15,90,105,55,310,51.666666666666664,0.9,19.5,75.4,1059860,200.0,Pokémon Psi,False,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
64,Kadabra,1,psíquico,,40,35,30,105,120,70,400,66.66666666666667,1.3,56.5,75.4,1059860,100.0,Pokémon Psi,False,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
65,Alakazam,1,psíquico,,55,50,65,150,175,105,600,100.0,1.5,48.0,75.4,1059860,50.0,Pokémon Psi,False,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
66,Machop,1,lutador,,70,80,50,35,35,35,305,50.833333333333336,0.8,19.5,75.4,1059860,180.0,Pokémon Superpoderoso,False,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
67,Machoke,1,lutador,,80,100,70,45,50,60,405,67.5,1.5,70.5,75.4,1059860,90.0,Pokémon Superpoderoso,False,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
68,Machamp,1,lutador,,90,130,80,55,65,85,505,84.16666666666667,1.6,130.0,75.4,1059860,45.0,Pokémon Superpoderoso,False,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
69,Bellsprout,1,planta,venenoso,50,75,35,40,70,30,300,50.0,0.7,4.0,50.0,1059860,255.0,Pokémon Flor,False,"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
70,Weepinbell,1,planta,venenoso,65,90,50,55,85,45,390,65.0,1.0,6.4,50.0,1059860,120.0,Pokémon Apanhador de Mosca,False,"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
71,Victreebel,1,planta,venenoso,80,105,65,70,100,70,490,81.66666666666667,1.7,15.5,50.0,1059860,45.0,Pokémon Apanhador de Mosca,False,"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
72,Tentacool,1,água,venenoso,40,40,35,70,50,100,335,55.833333333333336,0.9,45.5,50.0,1250000,190.0,Pokémon Água-viva,False,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
73,Tentacruel,1,água,venenoso,80,70,65,100,80,120,515,85.83333333333333,1.6,55.0,50.0,1250000,60.0,Pokémon Água-viva,False,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
74,Geodude,1,pedra,terra,40,80,100,20,30,30,300,50.0,,,50.0,1059860,255.0,Pokémon Rocha,False,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
75,Graveler,1,pedra,terra,55,95,115,35,45,45,390,65.0,,,50.0,1059860,120.0,Pokémon Rocha,False,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
76,Golem,1,pedra,terra,80,120,130,45,55,65,495,82.5,,,50.0,1059860,45.0,Pokémon Megaton,False,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
77,Ponyta,1,fogo,,50,85,55,90,65,65,410,68.33333333333333,1.0,30.0,50.0,1000000,190.0,Pokémon Cavalo de Fogo,False,"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
78,Rapidash,1,fogo,,65,100,70,105,80,80,500,83.33333333333333,1.7,95.0,50.0,1000000,60.0,Pokémon Cavalo de Fogo,False,"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
79,Slowpoke,1,água,psíquico,90,65,65,15,40,40,315,52.5,1.2,36.0,50.0,1000000,190.0,Pokémon Tonto,False,"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
80,Slowbro,1,água,psíquico,95,75,180,30,130,80,590,98.33333333333333,1.6,78.5,50.0,1000000,75.0,Pokémon Caranguejo Eremita,False,"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
81,Magnemite,1,elétrico,aço,25,35,70,45,95,55,325,54.166666666666664,0.3,6.0,,1000000,190.0,Pokémon Ímã,False,"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
